"Date","Ticker","Entry_Price","Conviction","Market_Cap","ATR_Value","Stop_Loss","Breakeven_Trigger","Thesis","Status","Shares_Count","Position_Cost","Risk_R_Unit","Exit_Price","Realized_PL"
"2026-02-17 09:14:12","ITRI","89.36","8","$4.9B","4.07","83.26","98.52","Critical infrastructure play for AI/Data Center power demand; modernization supercycle driving backlog growth.","CLOSED","1.1191","100.0","6.1","95.3","6.65"
"2026-02-17 11:20:26","ZBIO","27.41","8","$1.42B","2.29","25.49","30.29","High-conviction insider cluster buying in February 2026, with a Director purchasing ~$119k worth of shares on Feb 13 following a $1M+ purchase by the CEO on Feb 2, signaling strong confidence ahead of the mid-2026 obexelimab readout.","CLOSED","3.6483","100.0","1.92","26.09","-4.8"
"2026-02-17 11:21:38","QDEL","22.94","9","$1.6B","1.93","21.34","25.35","Classic 'Cluster Buying' signal where the CEO, CFO, and a Director all purchased shares on the open market (filed late Friday, Feb 13), signaling strong internal conviction that the stock is undervalued.","CLOSED","4.3582","100.0","1.61","23.58","2.77"
"2026-02-17 11:21:39","LGIH","56.2","8","$1.4B","3.05","52.27","62.1","Reported a Q4 earnings beat ($0.97 vs $0.96 est) this morning with positive forward commentary. The stock is up only ~1.8%, leaving room for a PEAD move as the market digests the beat.","CLOSED","1.7794","100.0","3.93","53.16","-5.41"
"2026-02-17 11:21:40","NCLH","23.39","8","$9.8B","1.47","21.75","25.85","Activist investor Elliott Investment Management has built a ~10% stake, which often precedes strategic shifts, cost-cutting, or sale rumors that drive stock prices higher.","CLOSED","4.2753","100.0","1.64","23.92","2.27"
"2026-02-17 12:15:38","RSI","16.73","8","$1.6B","1.04","15.56","18.49","High-growth iGaming operator reporting Q4 earnings today; consistently beats revenue estimates (10 consecutive quarters).","CLOSED","5.6922","95.23","1.17","18.33","9.11"
"2026-02-23 09:14:24","AXSM","183.72","9","$4.5B","4.75","176.59","194.41","Q4 2025 earnings beat with strong Auvelity launch metrics; pre-market release sets up immediate PEAD opportunity.","STOPPED_OUT","0.54","99.22","7.13","176.59","-3.85"
"2026-02-23 09:14:25","WGS","82.06","8","$1.8B","6.32","76.32","90.68","Turnaround execution confirmed with Q4 profit surprise; raising full-year 2026 guidance.","CLOSED","1.2091","99.22","5.74","79.74","-2.81"
"2026-02-23 09:14:27","BCRX","7.45","8","$1.6B","0.28","7.03","8.08","ORLADEYO sales growth acceleration and pipeline update for BCX10013 expected on morning call.","CLOSED","13.3176","99.22","0.42","8.76","17.38"
"2026-02-24 09:17:45","HRMY","26.87","9","$1.8B","2.07","24.99","29.69","High-conviction PEAD play following strong Q4 2025 earnings beat reported pre-market today (Feb 24).","CLOSED","3.7051","99.56","1.88","28.9","7.52"
"2026-02-24 09:17:47","LNTH","73.42","8","$4.7B","2.29","69.99","78.57","Pre-PDUFA run-up play targeting the March 6, 2026 decision date. Technical breakout forming ahead of binary event.","CLOSED","1.356","99.56","3.43","76.31","3.92"
"2026-02-24 09:17:48","JAZZ","173.25","7","$10.1B","3.89","167.42","181.99","Earnings run-up/positioning play ahead of report After Market Close today (Feb 24). Strong momentum from previous quarter beat.","CLOSED","0.5746","99.56","5.83","190.43","9.87"
"2026-03-02 09:09:06","NTLA","13.78","8","$1.6B","0.8","12.82","15.23","FDA lifting the clinical hold on the MAGNITUDE-2 trial removes a critical overhang; the 4.5% move is muted compared to typical biotech relief rallies.","CLOSED","7.4361","102.47","0.96","13.16","-4.61"
"2026-03-03 09:05:33","EVGO","2.83","8","$840M","0.15","2.63","3.13","EVgo delivered a pivotal inflection quarter with record revenue (+75% YoY) and its first-time positive Adjusted EBITDA, yet the stock has only reacted mildly (+2-3%). The transition to profitability in the EV charging space is a major re-rating event that the market is currently under-pricing due to historical skepticism.","STOPPED_OUT","37.7145","106.73","0.2","2.63","-7.54"
"2026-03-04 09:04:14","FOUR","49.89","9","$3.91B","3.81","46.4","55.13","CEO Jared Isaacman purchased ~$13M in stock (reported Mar 2) following a 23% post-earnings drop, signaling strong conviction that the sell-off was an overreaction.","STOPPED_OUT","2.1393","106.73","3.49","46.4","-7.47"
"2026-03-04 09:04:16","LNTH","78.84","8","$5.02B","2.94","74.44","85.45","Run-up into FDA PDUFA date (March 6) for Piflufolastat F-18; momentum is strong with a 13% gain in the last 30 days.","CLOSED","1.3538","106.73","4.4","80.99","2.91"
"2026-03-05 09:07:01","STOK","34.42","8","$1.93B","2.33","32.01","38.03","High-impact publication in NEJM validates Zorevunersen for Dravet Syndrome, significantly de-risking the asset. The market reaction (+1.8%) appears muted relative to the scientific validation, suggesting the catalyst is not yet fully priced.","CLOSED","3.0571","105.22","2.41","",""
"2026-03-05 09:07:02","HCM","13.65","7","$2.43B","0.53","12.86","14.83","Reported a massive jump in Net Income ($457M vs $37M YoY) driven by divestments and core growth. The stock is digesting the news with mild volatility, offering a potential entry before the market fully values the strengthened balance sheet.","CLOSED","7.7115","105.22","0.79","",""
"2026-03-09 10:12:48","RYTM","91.14","9","$6.33B","5.23","84.76","100.7","Rhythm Pharmaceuticals is approaching a critical March 20, 2026 PDUFA date for IMCIVREE in hypothalamic obesity with gold-standard Phase 3 data, trading insulated from broader GLP-1 price wars.","CLOSED","1.1281","102.81","6.38","88.06","-3.48"
"2026-03-09 10:12:50","RCKT","4.72","8","$503.7M","0.39","4.38","5.21","Rocket Pharmaceuticals has a late-March PDUFA for KRESLADI in severe LAD-I, offering an asymmetric risk/reward run-up setup after addressing previous CMC issues.","CLOSED","21.8045","102.81","0.33","4.82","2.18"
"2026-03-10 10:07:50","TSLX","18.29","8","$1.5B","0.61","17.38","19.66","A massive, multi-million dollar insider buy by a high-ranking executive signals peak confidence in the underlying portfolio of this beaten-down specialty lending stock.","OPEN","5.5161","100.89","0.91","0.0","0.0"
"2026-03-10 10:07:52","TPC","71.39","7","$1.8B","4.98","66.39","78.88","Aggressive insider buying into a multi-month momentum rally demonstrates that management views the stock as fundamentally undervalued relative to its infrastructure backlog.","OPEN","1.4133","100.89","5.0","0.0","0.0"
"2026-03-12 10:10:17","CAPR","32.97","8","$1.82B","2.03","30.66","36.43","The FDA lifting the CRL for deramiocel drastically de-risks the asset, while the new August 22 PDUFA and Priority Review set a clear regulatory runway for approval in Duchenne muscular dystrophy.","OPEN","3.1364","103.39","2.31","0.0","0.0"
"2026-03-16 10:25:44","RYTM","88.06","9","$6.36B","5.3","81.89","97.3","Rhythm faces a dual-catalyst setup with a March 20, 2026 PDUFA for IMCIVREE in Acquired Hypothalamic Obesity and imminent Japanese cohort data. Strong TRANSCEND trial data de-risks the approval, yet the market is underestimating the total addressable market expansion.","OPEN","1.1712","103.13","6.16","0.0","0.0"
"2026-03-16 10:25:45","ALKT","18.04","8","$1.8B","1.17","16.78","19.93","Major 10% owner General Atlantic aggressively accumulated 2.8 million shares between March 9-11, 2026, signaling immense conviction. Despite strong Q4 metrics including 34% YoY revenue growth, the stock remains artificially depressed.","OPEN","5.7167","103.13","1.26","0.0","0.0"
"2026-03-16 10:25:47","SAIC","90.13","8","$7.2B","3.23","85.28","97.41","SAIC delivered a massive +13.4% EPS surprise for Q4 on March 13, 2026. Institutional money managers are likely to undergo positive earnings revisions, setting up a classic Post-Earnings Announcement Drift (PEAD) play.","OPEN","1.1442","103.13","4.85","0.0","0.0"
